Algorithm,Dataset_Size,Avg_Fitness,Avg_Execution_Time,Fitness_Per_Attraction,Time_Per_Attraction
GA,20,15101.370598553101,0.059271812438964844,755.068529927655,0.0029635906219482424
Greedy,20,18111.912952649775,5.316734313964844e-05,905.5956476324887,2.658367156982422e-06
Random,20,17138.55691779477,0.017047882080078125,856.9278458897385,0.0008523941040039062
ALNS,20,14097.378993743745,1.7264759540557861,704.8689496871873,0.0863237977027893
GA,15,12067.853616623364,0.039060115814208984,804.5235744415576,0.0026040077209472656
Greedy,15,14078.985645490004,3.0994415283203125e-05,938.5990430326669,2.0662943522135415e-06
Random,15,12081.745679226176,0.013143062591552734,805.4497119484117,0.0008762041727701823
ALNS,15,10059.816361199342,0.6110789775848389,670.6544240799561,0.04073859850565593
GA,25,19133.822960576006,0.07412409782409668,765.3529184230403,0.002964963912963867
Greedy,25,23153.08560693597,6.461143493652344e-05,926.1234242774387,2.5844573974609375e-06
Random,25,21200.90245292561,0.021759033203125,848.0360981170244,0.000870361328125
ALNS,25,17120.39423763275,3.7704219818115234,684.8157695053101,0.15081687927246093
