City,Algorithm,Fitness_Score,Total_Distance,Total_Cost,Total_Time_Hours,Execution_Time,Attractions_Visited,Feasible,Distance_Efficiency,Cost_Efficiency,Time_Violations,Budget_Violation
Hanoi,GA,15101.370598553101,18.980399035401234,368587,82.39019951770062,0.059271812438964844,20,False,0.9490199517700617,18429.35,10,0
Hanoi,Greedy,18111.912952649775,16.008635099850537,368587,95.90431754992527,5.316734313964844e-05,20,False,0.8004317549925268,18429.35,13,0
Hanoi,Random,17138.55691779477,37.10461186317958,368587,101.4523059315898,0.017047882080078125,20,False,1.855230593158979,18429.35,12,0
Hanoi,ALNS,14097.378993743745,19.652662495829627,368587,77.72633124791481,1.7264759540557861,20,False,0.9826331247914813,18429.35,9,0
Da Nang,GA,12067.853616623364,12.546855526687304,203718,55.30676109667698,0.039060115814208984,15,False,0.8364570351124869,13581.2,7,0
Da Nang,Greedy,14078.985645490004,13.301541437780527,203718,65.6841040522236,3.0994415283203125e-05,15,False,0.8867694291853685,13581.2,9,0
Da Nang,Random,12081.745679226176,21.808230595228576,203718,59.93744863094762,0.013143062591552734,15,False,1.453882039681905,13581.2,7,0
Da Nang,ALNS,10059.816361199342,13.855351910672885,203718,45.96100928866978,0.6110789775848389,15,False,0.9236901273781923,13581.2,5,0
Ho Chi Minh City,GA,19133.822960576006,26.081973717337476,362591,107.74098685866873,0.07412409782409668,25,False,1.043278948693499,14503.64,14,0
Ho Chi Minh City,Greedy,23153.08560693597,25.00836323638128,362591,128.0772436995871,6.461143493652344e-05,25,False,1.000334529455251,14503.64,18,0
Ho Chi Minh City,Random,21200.90245292561,64.13496861707208,362591,136.76748430853604,0.021759033203125,25,False,2.565398744682883,14503.64,16,0
Ho Chi Minh City,ALNS,17120.39423763275,23.796158421833507,362591,96.59807921091674,3.7704219818115234,25,False,0.9518463368733403,14503.64,12,0
